iter	Passed	Remaining
399	67181	184748
400	67350	184584
401	67523	184430
402	67680	184232
403	67834	184025
404	68003	183861
405	68153	183646
406	68317	183466
407	68472	183265
408	68630	183070
409	68787	182874
410	68948	182687
411	69111	182508
412	69273	182324
413	69423	182110
414	69578	181910
415	69741	181731
416	69904	181550
417	70061	181356
418	70216	181156
419	70376	180967
420	70533	180774
421	70698	180598
422	70860	180417
423	71024	180242
424	71186	180058
425	71348	179878
426	71513	179705
427	71679	179532
428	71844	179359
429	72003	179171
430	72159	178974
431	72322	178798
432	72481	178610
433	72641	178423
434	72799	178233
435	72949	178024
436	73102	177822
437	73260	177631
438	73425	177458
439	73602	177314
440	73759	177124
441	73914	176927
442	74076	176747
443	74239	176570
444	74396	176379
445	74561	176206
446	74723	176027
447	74891	175861
448	75051	175676
449	75215	175502
450	75373	175314
451	75532	175128
452	75697	174957
453	75858	174775
454	76025	174607
455	76181	174415
456	76349	174250
457	76516	174084
458	76684	173918
459	76855	173761
460	77017	173580
461	77172	173388
462	77325	173188
463	77478	172990
464	77648	172830
465	77810	172652
466	77965	172459
467	78126	172279
468	78284	172093
469	78452	171928
470	78608	171738
471	78757	171532
472	78910	171333
473	79074	171160
474	79230	170972
475	79388	170785
476	79545	170597
477	79701	170407
478	79860	170225
479	80024	170052
480	80197	169897
481	80345	169693
482	80498	169496
483	80647	169294
484	80816	169132
485	80998	168997
486	81153	168806
487	81307	168612
488	81462	168421
489	81625	168248
490	81791	168081
491	81960	167919
492	82110	167719
493	82265	167528
494	82423	167344
495	82593	167185
496	82763	167024
497	82927	166854
498	83095	166690
499	83261	166523
500	83425	166351
501	83592	166186
502	83754	166010
503	83913	165828
504	84078	165659
505	84245	165494
506	84414	165332
507	84582	165168
508	84734	164974
509	84881	164770
510	85042	164592
511	85205	164420
512	85375	164259
513	85536	164083
514	85697	163905
515	85860	163733
516	86023	163560
517	86189	163394
518	86355	163225
519	86508	163035
520	86662	162845
521	86820	162663
522	86978	162481
523	87139	162304
524	87295	162120
525	87461	161953
526	87622	161778
527	87792	161618
528	87979	161490
529	88160	161351
530	88341	161210
531	88536	161096
532	88732	160984
533	88920	160855
534	89103	160720
535	89291	160590
536	89479	160462
537	89659	160320
538	89833	160167
539	90004	160008
540	90191	159876
541	90342	159683
542	90509	159517
543	90664	159329
544	90817	159138
545	90981	158967
546	91145	158796
547	91327	158655
548	91495	158491
549	91660	158322
550	91854	158203
551	92029	158051
552	92201	157893
553	92355	157703
554	92506	157511
555	92667	157334
556	92826	157155
557	92989	156982
558	93152	156810
559	93310	156627
560	93468	156447
561	93631	156275
562	93817	156139
563	94001	156001
564	94177	155850
565	94352	155698
566	94568	155612
567	94757	155482
568	94932	155328
569	95121	155198
570	95308	155063
571	95475	154897
572	95656	154753
573	95838	154610
574	96026	154477
575	96197	154317
576	96368	154155
577	96541	153999
578	96728	153863
579	96936	153761
580	97145	153660
581	97308	153487
582	97515	153382
583	97682	153214
584	97849	153045
585	98014	152876
586	98183	152711
587	98349	152542
588	98542	152415
589	98724	152269
590	98895	152108
591	99072	151956
592	99235	151782
593	99404	151616
594	99558	151429
595	99720	151254
596	99893	151095
597	100058	150924
598	100222	150752
599	100427	150641
600	100614	150503
601	100803	150367
602	100978	150212
603	101167	150075
604	101339	149915
605	101510	149753
606	101683	149594
607	101854	149430
608	102019	149260
609	102173	149073
610	102331	148891
611	102508	148737
612	102689	148590
613	102869	148441
614	103050	148292
615	103232	148146
616	103405	147986
617	103592	147845
618	103777	147702
619	103963	147561
620	104133	147397
621	104306	147237
622	104487	147087
623	104688	146967
624	104875	146825
625	105032	146642
626	105193	146465
627	105345	146276
628	105505	146097
629	105669	145923
630	105828	145745
631	105983	145559
632	106135	145370
633	106294	145190
634	106470	145035
635	106671	144912
636	106852	144762
637	107018	144592
638	107207	144453
639	107403	144323
640	107576	144162
641	107748	144000
642	107929	143850
643	108112	143702
644	108291	143549
645	108461	143384
646	108636	143225
647	108816	143073
648	109012	142941
649	109181	142775
650	109351	142610
651	109523	142448
652	109695	142284
653	109881	142139
654	110074	142004
655	110248	141843
656	110410	141668
657	110569	141488
658	110746	141331
659	110935	141190
660	111135	141062
661	111312	140905
662	111471	140726
663	111669	140595
664	111861	140457
665	112028	140288
666	112183	140103
667	112347	139929
668	112531	139781
669	112724	139643
670	112911	139498
671	113088	139341
672	113259	139176
673	113426	139006
674	113600	138844
675	113782	138693
676	113981	138562
677	114183	138434
678	114413	138341
679	114606	138202
680	114786	138047
681	114960	137885
682	115134	137723
683	115292	137542
684	115445	137355
685	115610	137182
686	115766	136998
687	115924	136818
688	116088	136643
689	116245	136461
690	116401	136279
691	116558	136097
692	116718	135918
693	116880	135742
694	117035	135559
695	117197	135383
696	117361	135209
697	117519	135029
698	117679	134851
699	117849	134684
700	118008	134506
701	118185	134347
702	118358	134184
703	118551	134043
704	118737	133895
705	118906	133727
706	119078	133563
707	119236	133383
708	119413	133224
709	119574	133047
710	119733	132868
711	119889	132686
712	120043	132502
713	120196	132317
714	120352	132135
715	120509	131954
716	120668	131775
717	120825	131595
718	120984	131416
719	121141	131236
720	121302	131060
721	121461	130881
722	121618	130701
723	121778	130524
724	121938	130348
725	122100	130173
726	122255	129991
727	122412	129811
728	122561	129622
729	122712	129436
730	122867	129255
731	123023	129073
732	123175	128888
733	123327	128703
734	123479	128519
735	123638	128341
736	123791	128158
737	123947	127978
738	124101	127795
739	124245	127603
740	124393	127415
741	124545	127231
742	124702	127052
743	124861	126875
744	125013	126691
745	125174	126516
746	125344	126350
747	125501	126173
748	125654	125989
749	125818	125818
750	125984	125649
751	126159	125488
752	126344	125338
753	126523	125180
754	126679	125001
755	126865	124851
756	127046	124696
757	127203	124518
758	127362	124341
759	127522	124166
760	127678	123987
761	127826	123800
762	128019	123656
763	128201	123502
764	128386	123352
